Name,Team,Goals,Assists,Points
Patrick Brown,BOS,8,11,19
Justin Brazeau,BOS,11,8,19
Max Jones,BOS,2,13,15
Charlie McAvoy,BOS,11,39,50
Hampus Lindholm,BOS,7,28,35
Brandon Carlo,BOS,0,23,23
Nikita Zadorov,BOS,6,11,17
Andrew Peeke,BOS,2,8,10
Mason Lohrei,BOS,2,2,4
Parker Wotherspoon,BOS,0,2,2
Tage Thompson,BUF,37,34,71
Alex Tuch,BUF,24,44,68
JJ Peterka,BUF,33,28,61
Dylan Cozens,BUF,11,34,45
Jack Quinn,BUF,25,30,55
Jason Zucker,BUF,23,25,48
Jordan Greenway,BUF,8,6,14
Zach Benson,BUF,10,21,31
Ryan McLeod,BUF,12,23,35
Sam Lafferty,BUF,11,10,21
Nicolas Aube-Kubel,BUF,5,12,17
Beck Malenstyn,BUF,2,6,8
Peyton Krebs,BUF,1,1,2
Rasmus Dahlin,BUF,20,37,57
Owen Power,BUF,5,25,30
Bowen Byram,BUF,7,18,25
Henri Jokijarju,BUF,2,11,13
Connor Clifton,BUF,0,17,17
Mattias Samuelsson,BUF,0,5,5
Jacob Bryson,BUF,1,2,3
Dylan Larkin,DET,30,38,68
Lucas Raymond,DET,23,34,57
Alex DeBrincat,DET,29,48,77
Patrick Kane,DET,28,30,58
JT Compher,DET,32,24,56
Vladimir Tarasenko,DET,28,25,53
Andrew Copp,DET,4,25,29
Michael Rasmussen,DET,5,20,25
Jonatan Berggren,DET,18,21,39
Joe Veleno,DET,16,8,24
Christian Fischer,DET,5,17,22
Tyler Motte,DET,5,15,20
Austin Watson,DET,7,12,19
Moritz Seider,DET,9,35,44
Ben Chiarot,DET,6,26,32
Jeff Petry,DET,2,15,17
Simon Edvinsson,DET,7,11,18
Erik Gustafsson,DET,1,14,15
Olli Maatta,DET,3,6,9
Justin Holl,DET,0,2,2
Matthew Tkachuk,FLA,32,46,78
Aleksander Barkov,FLA,41,58,99
Sam Reinhart,FLA,45,48,93
Sam Bennett,FLA,28,25,53
Carter Verhaeghe,FLA,27,30,57
Evan Rodrigues,FLA,10,29,39
Eetu Luostarainen,FLA,13,18,31
Jonah Gadjovich,FLA,4,13,17
Anton Lundell,FLA,9,16,25
Jesper Boqvist,FLA,17,11,28
AJ Greer,FLA,7,7,14
Tomas Nosek,FLA,4,13,17
Aaron Ekblad,FLA,11,19,30
Gustav Forsling,FLA,9,40,49
Dimitry Kulikov,FLA,2,27,29
Niko Mikkola,FLA,2,7,9
Nate Schmidt,FLA,0,8,8
Adam Boqvist,FLA,2,9,11
Uvis Balinskis,FLA,0,2,2
Tobias Bjornfoot,FLA,2,2,4
John Ludvig,FLA,1,3,4
Nick Suzuki,MTL,35,43,78
Cole Caufield,MTL,31,27,58
Juraj Slafkovsky,MTL,33,21,54
Patrik Laine,MTL,1,4,5
Kriby Dach,MTL,22,15,37
Alex Newhook,MTL,25,30,55
Josh Anderson,MTL,7,16,23
Christian Dvorak,MTL,6,19,25
Rafael Harvey-Pinard,MTL,5,12,17
Brendan Gallagher,MTL,3,11,14
Joel Armia,MTL,24,16,40
Jake Evans,MTL,7,23,30
Joshua Roy,MTL,14,21,35
Michael Pezzetta,MTL,1,3,4
Mike Matheson,MTL,14,35,49
David Savard,MTL,2,25,27
Kaiden Guhle,MTL,1,14,15
Justin Barron,MTL,2,26,28
Lane Hutson,MTL,1,8,9
Arber Xhekaj,MTL,0,7,7
Tim Stuetzle,OTT,27,30,57
Claude Giroux,OTT,35,27,62
Brady Tkachuk,OTT,27,37,64
Drake Batherson,OTT,28,32,60
Shane Pinto,OTT,8,22,30
Josh Norris,OTT,31,15,46
David Perron,OTT,15,22,37
Ridley Greig,OTT,8,31,39
Michael Amadio,OTT,14,22,36
Zack MacEwen,OTT,4,9,13
Noah Gregor,OTT,6,7,13
Nick Cousins,OTT,7,13,20
Jake Sanderson,OTT,2,26,28
Thomas Chabot,OTT,12,21,33
Artem Zub,OTT,1,22,23
Nick Jensen,OTT,3,24,27
Travis Hamonic,OTT,0,11,11
Jacob Bernard-Docker,OTT,1,7,8
Nikita Kucherov,TB,29,43,72
Brayden Point,TB,36,32,68
Jake Guentzel,TB,18,34,52
Brandon Hagel,TB,20,31,51
Anthony Cirelli,TB,25,30,55
Nicholas Paul,TB,16,20,36
Conor Sheary,TB,12,21,33
Mikey Eyssimont,TB,5,15,20
Cam Atkinson,TB,8,21,29
Zemgus Girgensons,TB,13,4,17
Luke Glendening,TB,5,4,9
Mitchell Chaffee,TB,10,5,15
Victor Hedman,TB,10,31,41
Erik Cernak,TB,8,19,27
Ryan McDonagh,TB,1,25,26
Darren Raddysh,TB,0,14,14
JJ Moser,TB,4,8,12
Nick Perbix,TB,1,7,8
Auston Matthews,TOR,44,36,80
William Nylander,TOR,24,31,55
Mitch Marner,TOR,35,53,88
John Tavares,TOR,21,25,46
Matthew Knies,TOR,26,21,47
Max Domi,TOR,17,47,64
Nicholas Robertson,TOR,14,17,31
Max Pacioretty,TOR,10,23,33
Pontus Holmberg,TOR,10,20,30
David Kampf,TOR,5,5,10
Connor Dewar,TOR,2,11,13
Bobby McMann,TOR,10,10,20
Ryan Reaves,TOR,0,1,1
Steven Lorentz,TOR,1,0,1
Calle Jarnkrok,TOR,2,1,3
Morgan Rielly,TOR,11,32,43
Chris Tanev,TOR,5,20,25
Oliver Ekman-Larsson,TOR,2,13,15
Jake McCabe,TOR,3,19,22
Simon Benoit,TOR,0,1,1
Timothy Liljgren,TOR,1,10,11
Conor Timmins,TOR,2,3,5
Sebastian Aho,CAR,47,50,97
Andrei Svechnikov,CAR,27,41,68
Seth Jarvis,CAR,47,40,87
Jesperi Kotkaniemi,CAR,29,19,48
Martin Necas,CAR,24,34,58
Jesper Fast,CAR,18,38,56
Jack Drury,CAR,7,28,35
Jordan Staal,CAR,9,19,28
Jack Roslovic,CAR,12,26,38
Tyson Jost,CAR,9,12,21
William Carrier,CAR,11,13,24
Jordan Martinook,CAR,11,15,26
Brendan Lemieux,CAR,3,5,8
Eric Robinson,CAR,1,3,4
Ryan Suzuki,CAR,0,5,5
Jaccob Slavin,CAR,1,29,30
Brent Burns,CAR,8,22,30
Sean Walker,CAR,5,24,29
Dimitry Orlov,CAR,2,20,22
Shayne Gostisbehere,CAR,3,14,17
Jalen Chatfield,CAR,5,5,10
Boone Jenner,CBJ,26,19,45
Kirill Marchenko,CBJ,30,17,47
Sean Monahan,CBJ,26,41,67
Adam Fantilli,CBJ,20,30,50
Kent Johnson,CBJ,12,27,39
Yegor Chinakhov,CBJ,23,13,36
Cole Sillinger,CBJ,4,14,18
James van Riemsdyk,CBJ,4,23,27
Dimitri Voronkov,CBJ,16,27,43
Sean Kuraly,CBJ,8,11,19
Mathieu Olivier,CBJ,6,7,13
Justin Danforth,CBJ,7,8,15
Gavin Brindley,CBJ,1,1,2
Zach Werenski,CBJ,15,32,47
Ivan Provorov,CBJ,6,19,25
Jordan Harris,CBJ,2,21,23
Damon Severson,CBJ,5,30,35
Erik Gudbranson,CBJ,0,9,9
Jack Johnson,CBJ,0,6,6
Travis Konecny,PHI,39,36,75
Owen Tippett,PHI,32,30,62
Tyson Foerster,PHI,18,19,37
Matvei Michkov,PHI,24,24,48
Sean Couturier,PHI,10,35,45
Joel Farabee,PHI,20,31,51
Scott Laughton,PHI,12,17,29
Morgan Frost,PHI,9,26,35
Noah Cates,PHI,9,13,22
Garnet Hathaway,PHI,9,11,20
Ryan Poehling,PHI,6,11,17
Bobby Brink,PHI,8,12,20
Nicolas Deslauriers,PHI,2,1,3
Travis Sanheim,PHI,6,25,31
Cam York,PHI,9,15,24
Nick Seeler,PHI,2,21,23
Jamie Drysdale,PHI,0,17,17
Erik Johnson,PHI,1,6,7
Rasmus Ristolainen,PHI,2,6,8
Sidney Crosby,PIT,38,55,93
Evgeni Malkin,PIT,43,39,82
Bryan Rust,PIT,35,34,69
Rickard Rakell,PIT,20,17,37
Michael Bunting,PIT,19,43,62
Drew O'Connor,PIT,13,23,36
Lars Eller,PIT,11,21,32
Kevin Hayes,PIT,20,23,43
Cody Glass,PIT,9,18,27
Noel Acciari,PIT,10,7,17
Blake Lizotte,PIT,10,23,33
Anthony Beauvilier,PIT,6,15,21
Jesse Puljujarvi,PIT,0,3,3
Erik Karlsson,PIT,15,43,58
Kris Letang,PIT,10,22,32
Marcus Pettersson,PIT,0,21,21
Ryan Graves,PIT,8,6,14
Matt Grzelyck,PIT,0,13,13
Sebastian Aho,PIT,2,9,11
Jack Hughes,NJ,47,42,89
Nico Hischier,NJ,37,47,84
Jesper Bratt,NJ,33,64,97
Timo Meier,NJ,33,36,69
Dawson Mercer,NJ,31,37,68
Erik Haula,NJ,18,38,56
Ondrej Palat,NJ,14,27,41
Tomas Tatar,NJ,14,25,39
Stefan Noesen,NJ,6,22,28
Curtis Lazar,NJ,9,11,20
Nathan Bastian,NJ,5,10,15
Paul Cotter,NJ,14,16,30
Dougie Hamilton,NJ,10,28,38
Jonas Siegenthaler,NJ,7,15,22
Brett Pesce,NJ,2,15,17
Brenden Dillon,NJ,4,21,25
Johnathan Kovacevic,NJ,2,11,13
Simon Nemec,NJ,3,26,29
Luke Hughes,NJ,0,1,1
Kurtis MacDermid,NJ,2,3,5
Nick DeSimone,NJ,0,1,1
Mat Barzal,NYI,23,50,73
Bo Horvat,NYI,36,37,73
Brock Nelson,NYI,31,38,69
Kyle Palmieri,NYI,17,25,42
Anthony Duclair,NYI,22,33,55
Maxim Tsyplakov,NYI,18,22,40
Anders Lee,NYI,11,8,19
JG Pageau,NYI,11,23,34
Simon Holmstrom,NYI,11,7,18
Casey Cizikas,NYI,3,10,13
Kyle MacLean,NYI,11,9,20
Oliver Wahlstrom,NYI,10,13,23
Hudson Fasching,NYI,1,4,5
Julien Gauthier,NYI,1,1,2
Pierre Engvall,NYI,0,3,3
Noah Dobson,NYI,14,28,42
Ryan Pulock,NYI,7,19,26
Adam Pelech,NYI,2,14,16
Alexander Romanov,NYI,2,17,19
Scott Mayfield,NYI,2,7,9
Mike Reilly,NYI,0,17,17
Samuel Bolduc,NYI,0,0,0
Artemi Panarin,NYR,47,38,85
Mika Zibanejad,NYR,24,37,61
Vincent Trocheck,NYR,14,40,54
Chris Kreider,NYR,19,19,38
Filip Chytil,NYR,10,31,41
Alexis Lafreniere,NYR,23,20,43
Kaapo Kakko,NYR,12,14,26
Reilly Smith,NYR,8,17,25
Will Cuylle,NYR,10,7,17
Matt Rempe,NYR,5,7,12
Jimmy Vesey,NYR,8,8,16
Sam Carrick,NYR,6,8,14
Adam Edstrom,NYR,1,3,4
Adam Fox,NYR,24,35,59
K'Andre Miller,NYR,8,17,25
Ryan Lindgren,NYR,2,21,23
Jacob Trouba,NYR,1,23,24
Zachary Jones,NYR,0,9,9
Braden Schneider,NYR,1,11,12
Chad Ruhwedel,NYR,0,3,3
Alexander Ovechkin,WSH,37,36,73
Tom Wilson,WSH,31,30,61
Dylan Strome,WSH,33,45,78
Pierre-Luc Dubois,WSH,17,27,44
Andrew Mangiapane,WSH,18,37,55
Connor McMichael,WSH,18,27,45
Sonny Milano,WSH,13,29,42
Hendrix Lapierre,WSH,15,12,27
Taylor Raddysh,WSH,12,8,20
Nic Dowd,WSH,10,11,21
Aliaksi Protas,WSH,2,20,22
Brandon Duhaime,WSH,4,11,15
TJ Oshie,WSH,0,1,1
John Carlson,WSH,16,32,48
Jakob Chychrun,WSH,13,30,43
Matt Roy,WSH,1,22,23
Rasmus Sandin,WSH,2,16,18
Trevor Van Riemsdyk,WSH,0,11,11
Martin Fehervary,WSH,0,8,8
Ethan Bear,WSH,0,4,4
Clayton Keller,UT,37,38,75
Barrett Hayton,UT,13,26,39
Nick Schmaltz,UT,27,36,63
Lawson Crouse,UT,21,20,41
Logan Cooley,UT,22,28,50
Dylan Guenther,UT,25,23,48
Mattias Maccelli,UT,9,18,27
Josh Doan,UT,14,23,37
Nick Bjugstad,UT,17,16,33
Alex Kerfoot,UT,11,24,35
Jack McBain,UT,11,16,27
Kevin Stenlund,UT,4,11,15
Michael Carcone,UT,1,0,1
Mikhail Sergachev,UT,11,22,33
Sean Durzi,UT,5,20,25
John Marino,UT,0,15,15
Juuso Valimaki,UT,2,13,15
Ian Cole,UT,0,8,8
Michael Kesselring,UT,1,13,14
Connor Bedard,CHI,32,36,68
Tyler Bertuzzi,CHI,19,46,65
Teuvo Teravainen,CHI,25,25,50
Andreas Athanasiou,CHI,16,24,40
Philip Kurashev,CHI,13,15,28
Taylor Hall,CHI,15,38,53
Jason Dickinson,CHI,22,9,31
Nick Foligno,CHI,11,20,31
Ilya Mikheyev,CHI,13,24,37
Craig Smith,CHI,9,9,18
Ryan Donato,CHI,16,16,32
Lukas Reichel,CHI,9,19,28
Joey Anderson,CHI,2,2,4
Patrick Maroon,CHI,0,0,0
Frank Nazar,CHI,1,4,5
Nolan Slaggert,CHI,3,0,3
Seth Jones,CHI,10,31,41
Alex Vlassic,CHI,6,12,18
Connor Murphy,CHI,4,13,17
Kevin Korchinski,CHI,1,10,11
Alec Martinez,CHI,1,9,10
TJ Brodie,CHI,3,11,14
Nathan MacKinnon,COL,50,50,100
Mikko Rantanen,COL,50,40,90
Jonathan Drouin,COL,35,49,84
Casey Mittelstadt,COL,23,36,59
Artturi Lehkonen,COL,19,37,56
Nikolai Kovalenko,COL,19,30,49
Ross Colton,COL,11,25,36
Miles Wood,COL,9,38,47
Logan O'Connor,COL,11,21,32
Parker Kelly,COL,3,6,9
Chris Wagner,COL,11,10,21
Joel Kiviranta,COL,2,6,8
Gabriel Landeskog,COL,0,4,4
Cale Makar,COL,22,40,62
Devon Toews,COL,9,29,38
Samuel Girard,COL,3,16,19
Josh Manson,COL,2,27,29
Oliver Kylington,COL,3,6,9
Calvin deHaan,COL,0,9,9
Keaton Middleton,COL,2,2,4
Jason Robertson,DAL,46,43,89
Roope Hintz,DAL,35,43,78
Wyatt Johnston,DAL,38,43,81
Jamie Benn,DAL,22,40,62
Tyler Seguin,DAL,26,37,63
Matt Duchene,DAL,25,37,62
Mason Marchment,DAL,15,23,38
Evgeni Dadonov,DAL,17,12,29
Logan Stankoven,DAL,6,32,38
Sam Steel,DAL,6,11,17
Colin Blackwell,DAL,9,13,22
Mavrik Bourque,DAL,12,16,28
Miro Heiskanen,DAL,7,38,45
Esa Lindell,DAL,3,22,25
Thomas Harley,DAL,4,15,19
Ilya Lyubushkin,DAL,2,15,17
Matt Dumba,DAL,0,10,10
Nils Lundkvist,DAL,0,7,7
Brendan Smith,DAL,0,0,0
Kirill Kaprizov,MIN,34,47,81
Matthew Boldy,MIN,28,32,60
Joel Eriksson-Ek,MIN,21,28,49
Mats Zuccarello,MIN,19,36,55
Marcus Foligno,MIN,21,26,47
Ryan Hartman,MIN,33,27,60
Frederick Gaudreau,MIN,11,15,26
Marcus Johansson,MIN,12,11,23
Marco Rossi,MIN,12,13,25
Marat Kushnutdinov,MIN,13,20,33
Yakov Trenin,MIN,8,6,14
Jakub Lauko,MIN,7,16,23
Liam Ohgren,MIN,0,4,4
Brock Faber,MIN,3,29,32
Jonas Brodin,MIN,7,16,23
Jared Spurgeon,MIN,3,19,22
Jake Middleton,MIN,2,21,23
Zach Bogosian,MIN,0,12,12
Jon Merrill,MIN,0,10,10
Filip Forsberg,NSH,43,41,84
Ryan O'Reilly,NSH,31,28,59
Jonathan Marchessault,NSH,32,47,79
Gustav Nyquist,NSH,19,45,64
Steven Stamkos,NSH,25,37,62
Tommy Novak,NSH,29,24,53
Colton Sissons,NSH,5,19,24
Mark Jankowski,NSH,14,8,22
Luke Evangelista,NSH,13,25,38
Cole Smith,NSH,1,16,17
Michael McCarron,NSH,5,13,18
Phil Tomasino,NSH,6,14,20
Juuso Parssinen,NSH,2,5,7
Roman Josi,NSH,20,51,71
Brady Skjei,NSH,12,22,34
Dante Fabbro,NSH,2,20,22
Alexandre Carrier,NSH,1,12,13
Jeremy Lauzon,NSH,1,5,6
Spencer Stastney,NSH,1,9,10
Luke Schenn,NSH,2,2,4
Robert Thomas,STL,21,49,70
Jordan Kyrou,STL,38,29,67
Pavel Buchnevich,STL,35,29,64
Brayden Schenn,STL,18,23,41
Jake Neighbours,STL,23,11,34
Brandon Saad,STL,19,23,42
Radek Faksa,STL,6,19,25
Mathieu Joseph,STL,12,23,35
Dylan Holloway,STL,7,4,11
Alexey Toropchenko,STL,10,11,21
Oskar Sundqvist,STL,5,5,10
Alexandre Texier,STL,4,16,20
Kasperi Kapanen,STL,2,2,4
Colton Parayko,STL,5,17,22
Nick Leddy,STL,1,18,19
Justin Faulk,STL,0,22,22
Philip Broberg,STL,1,15,16
Ryan Suter,STL,0,7,7
Scott Perunovich,STL,0,10,10
Torey Krug,STL,1,7,8
Kyle Connor,WPG,43,29,72
Mark Scheifele,WPG,27,47,74
Gabriel Vilardi,WPG,35,26,61
Cole Perfetti,WPG,20,32,52
Nikolai Ehlers,WPG,28,37,65
Alex Iafallo,WPG,12,23,35
Nino Niederreiter,WPG,13,11,24
Mason Appleton,WPG,9,19,28
Adam Lowry,WPG,11,21,32
Vladislav Namestnikov,WPG,8,19,27
Morgan Barron,WPG,11,11,22
Rasmus Kupari,WPG,2,10,12
Josh Morrissey,WPG,17,48,65
Dylan DeMelo,WPG,7,36,43
Neal Pionk,WPG,1,17,18
Dylan Samberg,WPG,2,18,20
Logan Stanley,WPG,0,5,5
Colin Miller,WPG,4,13,17
Troy Terry,ANA,21,33,54
Alex Killorn,ANA,17,29,46
Leo Carlsson,ANA,26,19,45
Frank Vatrano,ANA,25,15,40
Trevor Zegras,ANA,24,22,46
Cutter Gauthier,ANA,20,23,43
Ryan Strome,ANA,11,17,28
Robby Fabbri,ANA,14,13,27
Mason McTavish,ANA,9,23,32
Brett Leason,ANA,3,5,8
Brock McGinn,ANA,3,8,11
Isac Lundestrom,ANA,3,7,10
Sam Colangelo,ANA,0,3,3
Ross Johnston,ANA,1,2,3
Cam Fowler,ANA,4,16,20
Pavel Mintyukov,ANA,7,16,23
Radko Gudas,ANA,2,13,15
Brian Dumoulin,ANA,1,15,16
Olen Zellweger,ANA,0,10,10
Gustav Lindstrom,ANA,0,17,17
Blake Coleman,CGY,29,30,59
Mikael Backlund,CGY,16,38,54
Jonathan Huberdeau,CGY,17,38,55
Andrei Kuzmenko,CGY,22,22,44
Nazem Kadri,CGY,22,28,50
Connor Zary,CGY,19,26,45
Yegor Sharangovich,CGY,26,18,44
Martin Pospisil,CGY,4,17,21
Anthony Mantha,CGY,17,18,35
Kevin Rooney,CGY,6,8,14
Ryan Lomberg,CGY,9,4,13
Walker Dueher,CGY,7,17,24
Dryden Hunt,CGY,2,2,4
MacKenzie Weegar,CGY,9,22,31
Rasmus Andersson,CGY,12,29,41
Kevin Bahl,CGY,0,12,12
Danill Miromanov,CGY,2,21,23
Tyson Barrie,CGY,3,13,16
Jake Bean,CGY,4,9,13
Brayden Pachal,CGY,0,1,1
Joel Hanley,CGY,1,1,2
Connor McDavid,EDM,50,59,109
Leon Draisaitl,EDM,50,59,109
Ryan Nugent-Hopkins,EDM,21,46,67
Zach Hyman,EDM,30,29,59
Jeff Skinner,EDM,34,40,74
Viktor Arvidsson,EDM,20,32,52
Mattias Janmark,EDM,13,16,29
Connor Brown,EDM,4,17,21
Adam Henrique,EDM,18,21,39
Derek Ryan,EDM,6,9,15
Corey Perry,EDM,10,14,24
Vasaily Podkolzin,EDM,8,4,12
Evander Kane,EDM,2,1,3
Darnell Nurse,EDM,6,33,39
Evan Bouchard,EDM,12,34,46
Mattias Ekholm,EDM,4,32,36
Brett Kulak,EDM,1,10,11
Troy Stecher,EDM,1,11,12
Ty Emberson,EDM,0,14,14
Josh Brown,EDM,0,1,1
Anze Kopitar,LA,33,45,78
Adrian Kempe,LA,41,21,62
Kevin Fiala,LA,27,56,83
Quinton Byfield,LA,11,29,40
Phillip Danault,LA,21,25,46
Arthur Kaliyev,LA,10,23,33
Trevor Moore,LA,10,25,35
Alexis Lafferiere,LA,8,7,15
Warren Foegle,LA,11,21,32
Tanner Jeannot,LA,11,5,16
Trevor Lewis,LA,6,7,13
Alex Turcotte,LA,6,7,13
Drew Doughty,LA,1,2,3
Mikey Anderson,LA,4,8,12
Vladislav Gavrikov,LA,3,17,20
Brandt Clarke,LA,3,11,14
Jordan Spence,LA,6,15,21
Kyle Burroughs,LA,0,6,6
Joel Edmundson,LA,1,9,10
Andreas Englund,LA,0,1,1
Jacob Moverare,LA,0,0,0
Macklin Celebrini,SJ,30,56,86
William Eklund,SJ,30,34,64
Tyler Toffoli,SJ,35,38,73
Mikael Granlund,SJ,5,36,41
Fabian Zetterlund,SJ,30,32,62
Alexander Wennberg,SJ,20,35,55
Will Smith,SJ,20,10,30
Thomas Bordeleau,SJ,14,15,29
Luke Kunin,SJ,12,17,29
Nico Sturm,SJ,12,15,27
Barclay Goodrow,SJ,12,6,18
Ty Dellandrea,SJ,5,17,22
Klim Kostin,SJ,4,3,7
Logan Couture,SJ,0,5,5
Carl Grundstrom,SJ,1,0,1
Mario Ferraro,SJ,2,16,18
Cody Ceci,SJ,10,16,26
Jan Rutta,SJ,1,8,9
Jake Walman,SJ,2,11,13
Matt Benning,SJ,0,22,22
Marc-Eduoard Vlassic,SJ,0,12,12
Jared McCann,SEA,47,34,81
Matty Beniers,SEA,30,27,57
Jordan Eberle,SEA,22,42,64
Yanni Gourde,SEA,12,24,36
Oliver Bjorkstrand,SEA,23,34,57
Chandler Stephenson,SEA,13,34,47
Eeli Tolvanen,SEA,16,11,27
Andre Burakovsky,SEA,17,15,32
Jaden Schwartz,SEA,6,16,22
Brandon Tanev,SEA,8,9,17
Shane Wright,SEA,3,17,20
Tye Kartye,SEA,5,7,12
Vince Dunn,SEA,11,25,36
Adam Larsson,SEA,8,26,34
Jamie Oleksiak,SEA,0,18,18
Brandon Montour,SEA,4,13,17
William Borgen,SEA,1,12,13
Ryker Evans,SEA,1,7,8
Josh Mahura,SEA,1,13,14
Elias Pettersson,VAN,40,42,82
JT Miller,VAN,32,30,62
Jake DeBrusk,VAN,20,34,54
Brock Boeser,VAN,18,28,46
Conor Garland,VAN,24,32,56
Daniel Sprong,VAN,23,35,58
Pius Suter,VAN,10,21,31
Nils Hoglander,VAN,13,26,39
Dakota Joshua,VAN,16,15,31
Teddy Blueger,VAN,3,10,13
Danton Heinen,VAN,13,13,26
Kieffer Sherwood,VAN,7,9,16
Nils Aman,VAN,0,4,4
Phil Di Gisueppe,VAN,3,0,3
Quinn Hughes,VAN,16,33,49
Filip Hronek,VAN,1,31,32
Carson Soucy,VAN,4,13,17
Tyler Myers,VAN,0,18,18
Derek Forbort,VAN,0,6,6
Vincent Desharnais,VAN,1,6,7
Mark Friedman,VAN,0,0,0
Erik Brannstrom,VAN,0,2,2
Jack Eichel,VGK,46,44,90
Mark Stone,VGK,37,44,81
Tomas Hertl,VGK,29,48,77
William Karlsson,VGK,31,16,47
Ivan Barbashev,VGK,21,39,60
Victor Olofsson,VGK,28,18,46
Brett Howden,VGK,3,23,26
Alexander Holtz,VGK,10,21,31
Pavel Dorofeyev,VGK,10,15,25
Keegan Kolesar,VGK,9,13,22
Jonas Rondbjerg,VGK,4,15,19
Nicolas Roy,VGK,12,17,29
Alex Pietrangelo,VGK,13,35,48
Noah Hanafin,VGK,10,35,45
Shea Theodore,VGK,11,34,45
Brayden McNabb,VGK,1,19,20
Nick Hague,VGK,0,11,11
Zach Whitecloud,VGK,4,10,14
Brad Marchand,BOS,28,45,73
David Pastrnak,BOS,33,40,73
Elias Lindholm,BOS,28,40,68
Charlie Coyle,BOS,32,25,57
Pavel Zacha,BOS,16,21,37
Trent Frederic,BOS,24,28,52
Morgan Geekie,BOS,20,25,45
John Beecher,BOS,8,14,22
Mark Kastelic,BOS,10,12,22
Patrick Brown,BOS,6,13,19
Justin Brazeau,BOS,19,5,24
Max Jones,BOS,3,13,16
Charlie McAvoy,BOS,12,38,50
Hampus Lindholm,BOS,4,35,39
Brandon Carlo,BOS,2,22,24
Nikita Zadorov,BOS,0,16,16
Andrew Peeke,BOS,2,13,15
Mason Lohrei,BOS,2,5,7
Parker Wotherspoon,BOS,1,0,1
Tage Thompson,BUF,41,39,80
Alex Tuch,BUF,26,43,69
JJ Peterka,BUF,28,40,68
Dylan Cozens,BUF,27,38,65
Jack Quinn,BUF,34,33,67
Jason Zucker,BUF,23,36,59
Jordan Greenway,BUF,9,18,27
Zach Benson,BUF,11,22,33
Ryan McLeod,BUF,8,30,38
Sam Lafferty,BUF,12,9,21
Nicolas Aube-Kubel,BUF,11,10,21
Beck Malenstyn,BUF,5,9,14
Peyton Krebs,BUF,2,2,4
Rasmus Dahlin,BUF,21,41,62
Owen Power,BUF,8,31,39
Bowen Byram,BUF,6,25,31
Henri Jokijarju,BUF,0,16,16
Connor Clifton,BUF,1,15,16
Mattias Samuelsson,BUF,0,4,4
Jacob Bryson,BUF,1,2,3
Dylan Larkin,DET,24,41,65
Lucas Raymond,DET,38,20,58
Alex DeBrincat,DET,22,35,57
Patrick Kane,DET,25,27,52
JT Compher,DET,15,29,44
Vladimir Tarasenko,DET,31,18,49
Andrew Copp,DET,12,17,29
Michael Rasmussen,DET,9,15,24
Jonatan Berggren,DET,14,30,44
Joe Veleno,DET,13,11,24
Christian Fischer,DET,4,10,14
Tyler Motte,DET,3,18,21
Austin Watson,DET,7,11,18
Moritz Seider,DET,10,32,42
Ben Chiarot,DET,5,13,18
Jeff Petry,DET,3,20,23
Simon Edvinsson,DET,0,13,13
Erik Gustafsson,DET,0,10,10
Olli Maatta,DET,1,8,9
Justin Holl,DET,0,0,0
Matthew Tkachuk,FLA,26,46,72
Aleksander Barkov,FLA,34,53,87
Sam Reinhart,FLA,54,26,80
Sam Bennett,FLA,29,32,61
Carter Verhaeghe,FLA,28,41,69
Evan Rodrigues,FLA,11,29,40
Eetu Luostarainen,FLA,14,22,36
Jonah Gadjovich,FLA,7,18,25
Anton Lundell,FLA,6,17,23
Jesper Boqvist,FLA,15,16,31
AJ Greer,FLA,7,9,16
Tomas Nosek,FLA,3,15,18
Aaron Ekblad,FLA,8,28,36
Gustav Forsling,FLA,12,27,39
Dimitry Kulikov,FLA,0,22,22
Niko Mikkola,FLA,0,12,12
Nate Schmidt,FLA,1,9,10
Adam Boqvist,FLA,2,8,10
Uvis Balinskis,FLA,1,1,2
Tobias Bjornfoot,FLA,0,0,0
John Ludvig,FLA,1,4,5
Nick Suzuki,MTL,36,44,80
Cole Caufield,MTL,27,22,49
Juraj Slafkovsky,MTL,26,28,54
Patrik Laine,MTL,2,2,4
Kriby Dach,MTL,22,15,37
Alex Newhook,MTL,21,34,55
Josh Anderson,MTL,3,12,15
Christian Dvorak,MTL,7,14,21
Rafael Harvey-Pinard,MTL,8,12,20
Brendan Gallagher,MTL,7,23,30
Joel Armia,MTL,32,11,43
Jake Evans,MTL,6,26,32
Joshua Roy,MTL,7,23,30
Michael Pezzetta,MTL,1,5,6
Mike Matheson,MTL,13,32,45
David Savard,MTL,4,21,25
Kaiden Guhle,MTL,0,14,14
Justin Barron,MTL,1,23,24
Lane Hutson,MTL,3,4,7
Arber Xhekaj,MTL,1,10,11
Tim Stuetzle,OTT,26,34,60
Claude Giroux,OTT,32,42,74
Brady Tkachuk,OTT,23,55,78
Drake Batherson,OTT,18,35,53
Shane Pinto,OTT,5,19,24
Josh Norris,OTT,34,11,45
David Perron,OTT,21,19,40
Ridley Greig,OTT,9,22,31
Michael Amadio,OTT,27,9,36
Zack MacEwen,OTT,9,8,17
Noah Gregor,OTT,4,11,15
Nick Cousins,OTT,7,10,17
Jake Sanderson,OTT,5,31,36
Thomas Chabot,OTT,6,20,26
Artem Zub,OTT,3,17,20
Nick Jensen,OTT,0,20,20
