Name,Team,Goals,Assists,Points
Aaron Ekblad,FLA,8,25,33
Gustav Forsling,FLA,21,26,47
Dimitry Kulikov,FLA,0,21,21
Niko Mikkola,FLA,1,12,13
Nate Schmidt,FLA,0,7,7
Adam Boqvist,FLA,3,9,12
Uvis Balinskis,FLA,2,2,4
Tobias Bjornfoot,FLA,3,3,6
John Ludvig,FLA,0,4,4
Nick Suzuki,MTL,38,33,71
Cole Caufield,MTL,29,27,56
Juraj Slafkovsky,MTL,21,23,44
Patrik Laine,MTL,2,3,5
Kriby Dach,MTL,21,16,37
Alex Newhook,MTL,24,24,48
Josh Anderson,MTL,5,11,16
Christian Dvorak,MTL,5,23,28
Rafael Harvey-Pinard,MTL,5,16,21
Brendan Gallagher,MTL,7,19,26
Joel Armia,MTL,14,13,27
Jake Evans,MTL,5,20,25
Joshua Roy,MTL,10,14,24
Michael Pezzetta,MTL,3,0,3
Mike Matheson,MTL,18,34,52
David Savard,MTL,8,14,22
Kaiden Guhle,MTL,3,34,37
Justin Barron,MTL,3,22,25
Lane Hutson,MTL,0,6,6
Arber Xhekaj,MTL,1,11,12
Tim Stuetzle,OTT,33,41,74
Claude Giroux,OTT,35,29,64
