Simulation 1 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
4,VGK,51,25,6,108,265,218,11.59%,0.914
5,NYI,50,24,8,108,261,205,11.51%,0.921
6,CAR,51,26,5,107,260,218,10.53%,0.908
7,WPG,50,25,7,107,288,240,12.94%,0.913
8,EDM,48,29,5,101,296,251,11.06%,0.903
9,NYR,46,29,7,99,265,239,12.35%,0.911
10,BOS,46,29,7,99,235,221,11.09%,0.908
11,NJ,46,31,5,97,286,253,10.80%,0.904
12,SEA,44,32,6,94,251,223,11.89%,0.912
13,WSH,43,31,8,94,266,257,11.10%,0.907
14,TOR,43,32,7,93,245,228,10.97%,0.906
15,TB,38,30,14,90,264,247,11.80%,0.903
16,OTT,44,37,1,89,230,239,10.53%,0.901
17,PIT,42,35,5,89,266,285,11.64%,0.903
18,UT,41,34,7,89,246,241,11.14%,0.903
19,NSH,39,32,11,89,250,273,11.57%,0.901
20,DET,40,34,8,88,255,268,12.01%,0.904
21,VAN,41,37,4,86,258,262,11.35%,0.882
22,LA,40,38,4,84,228,240,10.66%,0.893
23,DAL,37,37,8,82,240,243,10.14%,0.905
24,ANA,38,39,5,81,255,304,12.82%,0.888
25,MIN,36,44,2,74,216,227,10.51%,0.894
26,STL,34,42,6,74,241,283,11.33%,0.902
27,CGY,32,40,10,74,260,291,11.80%,0.881
28,MTL,30,43,9,69,267,325,12.42%,0.878
29,PHI,32,47,3,67,224,289,10.52%,0.878
30,CHI,28,43,11,67,239,264,11.49%,0.898
31,CBJ,30,47,5,65,264,321,11.98%,0.889
32,SJ,18,54,10,46,215,323,10.98%,0.884

Simulation 16 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,FLA,53,20,9,115,269,206,11.67%,0.915
