Simulation 1 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
12,EDM,44,30,8,96,300,284,11.38%,0.897
13,VGK,45,32,5,95,258,253,11.60%,0.896
14,SEA,42,29,11,95,278,248,12.38%,0.909
15,BUF,43,32,7,93,265,252,11.62%,0.904
16,PIT,43,33,6,92,269,296,11.83%,0.893
17,NJ,43,34,5,91,298,249,11.53%,0.896
18,CGY,42,33,7,91,272,265,12.43%,0.891
19,BOS,41,34,7,89,233,237,10.71%,0.903
20,TB,39,32,11,89,271,264,12.15%,0.900
21,DET,41,35,6,88,254,269,12.59%,0.906
22,DAL,40,35,7,87,237,248,9.96%,0.903
23,ANA,37,37,8,82,249,271,11.56%,0.902
24,NSH,34,40,8,76,245,255,10.83%,0.899
25,MTL,32,38,12,76,254,308,11.48%,0.900
26,OTT,34,42,6,74,258,297,12.03%,0.889
27,CBJ,32,40,10,74,244,267,11.04%,0.905
28,STL,33,42,7,73,239,279,11.54%,0.897
29,CHI,34,44,4,72,224,279,10.49%,0.896
30,UT,33,44,5,71,253,289,11.75%,0.884
31,PHI,33,45,4,70,253,303,11.89%,0.883
32,SJ,26,48,8,60,213,317,10.96%,0.883

Simulation 78 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,BOS,50,23,9,109,284,237,13.13%,0.910
2,WSH,52,27,3,107,286,253,11.73%,0.903
3,NYR,50,25,7,107,257,210,12.17%,0.919
4,VGK,50,27,5,105,294,260,12.65%,0.899
5,VAN,49,28,5,103,250,231,11.16%,0.900
6,COL,47,26,9,103,296,243,12.25%,0.905
7,DET,48,28,6,102,262,255,12.41%,0.908
8,SEA,48,29,5,101,268,241,12.04%,0.905
9,CAR,47,28,7,101,285,250,11.92%,0.895
10,NJ,47,30,5,99,291,249,11.19%,0.904
11,NSH,46,30,6,98,272,265,11.65%,0.904
12,TB,44,29,9,97,268,264,11.74%,0.904
13,BUF,44,30,8,96,282,249,12.44%,0.907
14,EDM,44,31,7,95,280,261,10.96%,0.905
15,OTT,41,31,10,92,284,270,12.88%,0.897
16,MIN,44,35,3,91,260,265,12.10%,0.887
17,FLA,41,32,9,91,263,233,11.41%,0.901
18,UT,39,34,9,87,265,273,11.41%,0.895
19,CGY,38,33,11,87,284,267,12.84%,0.893
20,DAL,41,38,3,85,255,274,10.47%,0.892
21,WPG,36,35,11,83,251,257,11.42%,0.900
22,PHI,37,38,7,81,289,316,13.05%,0.884
23,TOR,37,39,6,80,260,273,11.57%,0.889
24,NYI,36,38,8,80,255,257,10.96%,0.900
25,PIT,38,41,3,79,252,273,10.81%,0.900
26,ANA,36,43,3,75,239,262,11.16%,0.896
27,LA,35,46,1,71,212,241,9.71%,0.888
28,MTL,32,43,7,71,258,321,11.70%,0.886
29,STL,31,42,9,71,222,262,10.94%,0.908
30,CHI,30,44,8,68,235,293,11.36%,0.890
31,CBJ,27,45,10,64,251,324,11.70%,0.890
32,SJ,27,48,7,61,220,301,11.11%,0.890

Simulation 79 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,NSH,51,26,5,107,262,214,11.53%,0.918
2,BOS,48,24,10,106,277,235,12.74%,0.915
3,CAR,50,27,5,105,287,237,12.00%,0.905
4,NYR,47,26,9,103,253,222,11.89%,0.915
5,DAL,46,26,10,102,276,243,11.39%,0.906
6,SEA,47,28,7,101,260,242,12.00%,0.904
7,EDM,45,26,11,101,294,270,11.33%,0.902
8,BUF,48,32,2,98,253,226,10.84%,0.908
9,UT,46,30,6,98,274,248,12.60%,0.903
10,MIN,44,29,9,97,242,207,11.11%,0.906
11,COL,43,28,11,97,281,263,11.78%,0.901
12,NJ,44,30,8,96,297,284,11.31%,0.895
13,VAN,45,32,5,95,259,231,11.12%,0.900
14,VGK,45,32,5,95,240,224,10.39%,0.906
15,WSH,44,31,7,95,265,262,10.95%,0.897
16,WPG,45,33,4,94,227,203,10.37%,0.920
17,LA,41,33,8,90,244,250,11.29%,0.897
18,NYI,40,32,10,90,271,254,12.15%,0.906
19,FLA,42,35,5,89,238,234,11.08%,0.899
20,TB,42,36,4,88,260,266,10.90%,0.896
21,PIT,40,35,7,87,274,283,11.97%,0.902
22,DET,38,34,10,86,215,248,10.56%,0.904
23,OTT,40,37,5,85,256,260,11.71%,0.902
24,TOR,39,36,7,85,261,278,11.54%,0.890
25,CGY,36,37,9,81,214,233,10.35%,0.901
26,CHI,36,41,5,77,227,258,10.84%,0.897
27,MTL,33,38,11,77,280,330,12.43%,0.885
28,CBJ,33,43,6,72,236,273,11.15%,0.902
29,ANA,30,40,12,72,269,303,12.93%,0.893
30,SJ,32,44,6,70,221,290,11.32%,0.894
31,PHI,28,44,10,66,241,315,11.01%,0.882
32,STL,24,48,10,58,225,293,10.51%,0.894

Simulation 80 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,LA,52,23,7,111,285,231,12.56%,0.902
2,WPG,51,23,8,110,272,243,12.70%,0.906
3,CAR,51,27,4,106,267,221,10.84%,0.902
4,TOR,50,28,4,104,252,215,11.13%,0.910
5,FLA,49,28,5,103,256,215,11.46%,0.906
6,BOS,48,28,6,102,229,201,10.34%,0.918
7,EDM,48,29,5,101,291,261,11.26%,0.902
8,NYI,45,30,7,97,272,240,11.75%,0.907
9,VAN,44,29,9,97,267,247,11.53%,0.899
10,TB,45,31,6,96,272,260,11.74%,0.897
11,WSH,43,31,8,94,292,275,11.94%,0.901
12,OTT,42,30,10,94,269,254,12.18%,0.908
13,CGY,43,33,6,92,289,272,13.39%,0.887
14,MIN,43,33,6,92,246,235,11.63%,0.895
15,COL,42,33,7,91,270,273,11.25%,0.895
16,VGK,42,35,5,89,268,224,11.78%,0.904
17,CHI,40,35,7,87,261,267,12.45%,0.895
18,NYR,40,35,7,87,222,241,10.62%,0.906
19,NJ,38,33,11,87,325,320,12.30%,0.886
20,UT,42,38,2,86,269,260,12.05%,0.893
21,CBJ,39,36,7,85,249,270,11.22%,0.905
22,NSH,38,35,9,85,253,263,11.08%,0.897
23,SEA,39,37,6,84,253,270,11.52%,0.895
24,BUF,38,37,7,83,240,265,10.90%,0.902
25,MTL,38,39,5,81,261,278,11.96%,0.897
26,SJ,37,40,5,79,239,293,12.59%,0.894
27,DAL,35,39,8,78,272,279,11.22%,0.890
28,DET,34,43,5,73,230,243,10.82%,0.898
29,ANA,32,44,6,70,265,325,12.34%,0.889
30,STL,29,46,7,65,253,307,11.94%,0.884
31,PHI,29,46,7,65,251,330,11.38%,0.880
32,PIT,26,44,12,64,257,319,11.91%,0.885

Simulation 81 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,CAR,55,21,6,116,298,209,12.24%,0.915
2,TOR,50,26,6,106,238,215,10.26%,0.911
3,WPG,48,24,10,106,266,236,11.70%,0.913
4,NJ,44,23,15,103,325,283,12.14%,0.897
5,DAL,47,27,8,102,288,270,11.91%,0.907
6,MIN,47,28,7,101,257,246,11.85%,0.897
7,CGY,44,27,11,99,287,264,12.82%,0.895
8,BOS,46,30,6,98,247,226,11.54%,0.911
9,TB,45,30,7,97,277,253,12.06%,0.903
10,UT,45,30,7,97,268,260,12.29%,0.897
11,OTT,45,31,6,96,258,267,11.88%,0.903
12,VGK,47,34,1,95,257,257,10.91%,0.899
13,FLA,43,30,9,95,270,235,12.23%,0.903
14,EDM,45,33,4,94,280,253,10.66%,0.900
15,NYR,43,31,8,94,248,243,11.65%,0.906
16,SEA,43,31,8,94,284,282,12.88%,0.897
17,VAN,41,29,12,94,246,219,10.94%,0.906
18,BUF,43,32,7,93,281,251,12.53%,0.904
19,NYI,43,33,6,92,278,267,12.45%,0.898
20,LA,41,35,6,88,253,236,11.21%,0.894
21,NSH,40,36,6,86,258,268,11.22%,0.895
22,CHI,40,37,5,85,260,266,12.21%,0.907
23,WSH,38,36,8,84,259,256,10.71%,0.903
24,COL,37,37,8,82,283,278,11.80%,0.889
25,PIT,35,39,8,78,273,308,11.85%,0.893
26,PHI,34,40,8,76,258,297,11.57%,0.884
27,STL,34,41,7,75,234,287,11.33%,0.906
28,MTL,34,41,7,75,274,332,12.49%,0.884
29,DET,29,41,12,70,250,282,11.76%,0.899
30,CBJ,31,46,5,67,230,287,10.36%,0.900
31,SJ,29,45,8,66,225,296,11.56%,0.898
32,ANA,26,49,7,59,238,319,11.56%,0.885

Simulation 82 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,FLA,52,22,8,112,270,230,12.09%,0.908
2,VAN,52,26,4,108,268,214,11.90%,0.906
3,WPG,51,25,6,108,277,201,12.67%,0.918
4,CAR,50,29,3,103,277,234,11.26%,0.903
5,NYR,49,28,5,103,255,207,12.05%,0.916
6,NYI,47,28,7,101,277,250,11.75%,0.900
7,DAL,48,30,4,100,271,239,11.46%,0.906
8,WSH,45,30,7,97,268,233,11.09%,0.908
9,NSH,44,29,9,97,271,273,11.81%,0.906
10,OTT,45,31,6,96,266,257,12.12%,0.903
11,EDM,44,30,8,96,308,292,11.72%,0.894
12,TB,43,32,7,93,279,255,11.92%,0.898
13,UT,43,32,7,93,273,262,12.59%,0.900
14,LA,41,30,11,93,292,279,13.18%,0.890
15,NJ,43,34,5,91,273,270,10.66%,0.893
16,MIN,43,35,4,90,233,237,10.95%,0.893
17,VGK,40,32,10,90,235,233,10.37%,0.908
18,BUF,43,37,2,88,274,255,12.06%,0.897
19,BOS,39,34,9,87,241,238,11.29%,0.901
20,SEA,40,36,6,86,242,243,10.77%,0.899
21,PHI,41,38,3,85,265,300,12.16%,0.888
22,COL,39,36,7,85,262,278,11.23%,0.891
23,CGY,36,33,13,85,273,284,12.48%,0.886
24,TOR,37,35,10,84,244,248,11.08%,0.901
25,ANA,39,39,4,82,235,251,11.53%,0.901
26,PIT,36,41,5,77,235,269,10.26%,0.896
27,STL,35,40,7,77,239,269,11.42%,0.902
28,CBJ,36,42,4,76,282,306,12.62%,0.895
29,DET,29,42,11,69,240,271,11.51%,0.899
30,MTL,30,44,8,68,250,312,11.53%,0.886
31,CHI,28,47,7,63,223,312,10.67%,0.886
32,SJ,24,54,4,52,215,311,11.19%,0.881

Simulation 83 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,NYR,47,23,12,106,259,232,12.19%,0.919
2,LA,49,27,6,104,259,244,11.60%,0.895
3,CAR,48,29,5,101,302,237,12.44%,0.895
4,BOS,47,28,7,101,227,185,10.24%,0.923
5,FLA,47,28,7,101,249,219,11.05%,0.908
6,VAN,44,26,12,100,291,249,13.10%,0.894
7,UT,46,29,7,99,281,247,12.39%,0.904
8,WPG,45,28,9,99,267,227,11.96%,0.914
9,NYI,44,29,9,97,298,268,12.96%,0.902
10,VGK,45,33,4,94,282,269,12.40%,0.897
11,TB,43,31,8,94,282,262,12.53%,0.900
12,TOR,43,31,8,94,287,267,12.62%,0.896
13,EDM,44,33,5,93,288,261,11.18%,0.902
14,CGY,43,32,7,93,243,237,11.28%,0.900
15,NJ,43,34,5,91,312,303,11.82%,0.883
16,CHI,41,32,9,91,244,235,11.76%,0.912
17,NSH,42,34,6,90,251,266,11.17%,0.896
18,STL,42,35,5,89,232,236,11.07%,0.915
19,PHI,42,36,4,88,257,281,11.74%,0.892
20,MIN,42,37,3,87,220,221,10.78%,0.902
21,WSH,40,36,6,86,267,277,11.30%,0.891
22,COL,39,35,8,86,261,261,11.09%,0.899
23,DAL,40,37,5,85,279,267,11.67%,0.895
24,DET,40,37,5,85,250,263,11.72%,0.899
25,OTT,37,37,8,82,264,289,11.98%,0.898
26,BUF,36,41,5,77,247,270,11.10%,0.895
27,MTL,36,42,4,76,258,287,12.08%,0.904
28,SEA,34,41,7,75,236,269,10.98%,0.891
29,CBJ,32,41,9,73,258,316,11.88%,0.886
30,PIT,33,44,5,71,251,316,11.04%,0.884
31,SJ,30,46,6,66,210,285,10.80%,0.892
32,ANA,28,47,7,63,234,300,11.13%,0.888

Simulation 84 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,FLA,50,26,6,106,269,233,11.97%,0.905
2,NYI,49,27,6,104,274,238,12.12%,0.909
3,TOR,48,26,8,104,280,245,12.24%,0.906
4,CAR,47,26,9,103,292,238,12.03%,0.900
5,MIN,46,29,7,99,255,247,12.06%,0.896
6,NSH,46,30,6,98,265,241,11.27%,0.907
7,NJ,46,30,6,98,289,278,10.93%,0.898
8,LA,44,28,10,98,286,268,12.69%,0.889
9,WSH,45,30,7,97,274,258,11.47%,0.907
10,BOS,44,29,9,97,271,240,12.75%,0.906
11,VAN,44,29,9,97,277,258,12.07%,0.899
12,EDM,45,32,5,95,310,289,11.75%,0.890
13,DET,43,32,7,93,252,241,11.91%,0.905
14,NYR,43,32,7,93,249,257,11.73%,0.902
15,WPG,43,33,6,92,255,244,11.54%,0.903
16,BUF,41,31,10,92,286,275,12.54%,0.901
17,UT,44,35,3,91,256,247,11.80%,0.899
18,SEA,42,34,6,90,254,252,11.52%,0.901
19,COL,39,32,11,89,270,258,11.63%,0.905
20,DAL,39,33,10,88,282,277,12.09%,0.896
21,CGY,38,35,9,85,247,253,11.33%,0.894
22,PIT,38,37,7,83,260,284,11.60%,0.897
23,TB,37,36,9,83,282,265,12.22%,0.893
24,OTT,38,38,6,82,246,247,11.54%,0.903
25,STL,35,37,10,80,266,303,12.41%,0.892
26,CBJ,37,40,5,79,248,290,11.23%,0.893
27,VGK,36,40,6,78,226,245,10.18%,0.897
28,ANA,34,40,8,76,254,275,12.06%,0.899
29,CHI,33,42,7,73,224,269,10.42%,0.895
30,PHI,35,45,2,72,257,302,11.58%,0.887
31,MTL,33,44,5,71,269,332,12.59%,0.884
32,SJ,30,43,9,69,233,309,12.15%,0.890

Simulation 85 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,COL,52,25,5,109,288,256,11.70%,0.903
2,CAR,47,24,11,105,254,202,10.57%,0.918
3,SEA,50,29,3,103,254,221,11.35%,0.907
4,VGK,46,25,11,103,285,238,12.99%,0.911
5,BOS,47,29,6,100,262,220,11.86%,0.903
6,WPG,45,27,10,100,269,223,12.44%,0.919
7,NYI,48,31,3,99,254,239,11.72%,0.912
8,TB,47,30,5,99,270,259,12.18%,0.897
9,NYR,46,29,7,99,291,254,13.45%,0.902
10,DAL,46,32,4,96,276,270,11.41%,0.895
11,FLA,43,30,9,95,255,234,11.47%,0.897
12,NSH,43,30,9,95,277,263,11.68%,0.901
13,EDM,45,33,4,94,279,257,10.64%,0.900
14,WSH,43,31,8,94,294,259,12.23%,0.902
15,MIN,42,30,10,94,267,251,12.34%,0.895
16,NJ,44,35,3,91,286,258,11.06%,0.895
17,BUF,39,31,12,90,264,251,11.83%,0.909
18,TOR,40,33,9,89,245,239,11.16%,0.905
19,VAN,39,33,10,88,252,263,11.23%,0.893
20,UT,40,35,7,87,232,250,10.31%,0.904
21,LA,38,34,10,86,272,271,12.33%,0.884
22,CGY,38,35,9,85,265,275,11.99%,0.895
23,PIT,39,37,6,84,252,269,10.90%,0.898
24,STL,37,38,7,81,258,286,12.66%,0.901
25,DET,38,42,2,78,219,226,10.65%,0.909
26,OTT,38,42,2,78,239,270,11.06%,0.895
27,CHI,34,41,7,75,249,287,11.57%,0.892
28,ANA,32,39,11,75,263,305,12.00%,0.898
29,MTL,33,42,7,73,245,294,11.09%,0.889
30,CBJ,33,47,2,68,217,293,9.91%,0.893
31,SJ,32,49,1,65,206,279,10.91%,0.889
32,PHI,28,48,6,62,258,335,12.15%,0.869

Simulation 86 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,CAR,53,25,4,110,287,228,12.07%,0.905
2,DAL,49,23,10,108,307,262,13.19%,0.905
3,WPG,51,27,4,106,261,226,11.80%,0.913
4,FLA,48,28,6,102,279,224,12.36%,0.908
5,TOR,47,27,8,102,272,248,12.14%,0.905
6,SEA,46,28,8,100,260,229,12.26%,0.912
7,EDM,48,31,3,99,289,269,11.08%,0.896
8,NYI,48,32,2,98,261,238,11.37%,0.898
9,VAN,43,28,11,97,237,244,10.43%,0.901
10,TB,42,28,12,96,279,264,12.64%,0.908
11,BUF,43,31,8,94,283,280,12.14%,0.896
12,VGK,41,29,12,94,270,242,11.73%,0.907
13,COL,45,34,3,93,268,234,11.31%,0.896
14,BOS,44,33,5,93,248,235,11.21%,0.902
15,MIN,43,32,7,93,277,273,12.61%,0.888
16,LA,42,31,9,93,245,246,11.12%,0.900
17,NSH,41,31,10,92,260,261,11.46%,0.904
18,OTT,42,33,7,91,260,255,11.97%,0.901
19,NJ,40,35,7,87,313,296,11.94%,0.885
20,CHI,42,40,0,84,242,281,11.38%,0.896
21,UT,39,38,5,83,266,272,12.01%,0.893
22,STL,38,39,5,81,254,290,11.65%,0.896
23,NYR,36,37,9,81,226,232,11.07%,0.908
24,CGY,34,36,12,80,259,273,11.85%,0.894
25,WSH,37,41,4,78,263,274,11.13%,0.890
26,DET,34,38,10,78,234,262,11.38%,0.903
27,ANA,36,41,5,77,264,273,12.14%,0.896
28,CBJ,36,41,5,77,251,298,11.40%,0.897
29,PHI,33,41,8,74,255,304,11.71%,0.884
30,MTL,32,43,7,71,241,286,11.11%,0.895
31,PIT,31,43,8,70,251,289,11.08%,0.898
32,SJ,28,47,7,63,245,319,12.67%,0.887

Simulation 87 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,DAL,49,25,8,106,285,241,11.86%,0.913
2,CAR,50,28,4,104,282,217,11.80%,0.907
3,WSH,50,29,3,103,280,243,11.80%,0.903
4,NJ,50,31,1,101,286,246,10.97%,0.899
5,EDM,46,30,6,98,311,277,11.72%,0.892
6,COL,46,30,6,98,277,252,11.56%,0.897
7,FLA,46,30,6,98,250,227,11.09%,0.906
8,VAN,44,30,8,96,250,258,10.87%,0.893
9,NYR,43,30,9,95,236,239,11.18%,0.913
10,BOS,44,32,6,94,253,230,11.29%,0.902
11,DET,43,31,8,94,237,231,11.32%,0.911
12,VGK,42,30,10,94,271,276,11.75%,0.894
13,TOR,44,33,5,93,249,226,10.31%,0.902
14,UT,44,33,5,93,265,253,11.99%,0.896
15,NSH,42,32,8,92,266,240,11.53%,0.907
16,BUF,39,29,14,92,314,291,13.75%,0.894
17,MIN,42,33,7,91,261,269,12.71%,0.891
18,CHI,41,33,8,90,247,272,12.03%,0.901
19,OTT,44,37,1,89,241,243,10.90%,0.897
20,SEA,39,32,11,89,251,259,11.39%,0.901
21,NYI,40,35,7,87,242,245,10.97%,0.902
22,WPG,40,36,6,86,215,203,10.12%,0.916
23,CGY,40,36,6,86,249,264,11.35%,0.892
24,TB,39,39,4,82,254,274,10.75%,0.889
25,MTL,37,37,8,82,259,265,11.91%,0.900
26,LA,37,37,8,82,244,256,11.18%,0.887
27,PIT,37,39,6,80,240,254,10.74%,0.902
28,PHI,36,40,6,78,252,272,11.34%,0.899
29,STL,33,44,5,71,228,293,11.08%,0.898
30,ANA,29,43,10,68,236,286,11.17%,0.902
31,SJ,29,48,5,63,231,287,12.09%,0.893
32,CBJ,27,49,6,60,249,322,11.49%,0.886

Simulation 88 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,FLA,53,23,6,112,259,198,11.22%,0.918
2,MIN,48,28,6,102,263,232,12.45%,0.905
3,COL,48,29,5,101,282,212,11.39%,0.911
4,TOR,47,28,7,101,255,239,10.97%,0.903
5,NJ,46,28,8,100,321,283,12.21%,0.896
6,EDM,46,28,8,100,291,274,11.31%,0.901
7,WPG,45,28,9,99,255,236,11.97%,0.913
8,DET,47,31,4,98,264,233,12.11%,0.910
9,CAR,46,30,6,98,248,223,10.23%,0.905
10,CGY,43,29,10,96,277,274,12.29%,0.890
11,BOS,45,32,5,95,260,253,11.82%,0.897
12,LA,43,30,9,95,256,259,11.57%,0.897
13,BUF,45,33,4,94,262,258,11.26%,0.900
14,DAL,45,33,4,94,265,263,11.01%,0.897
15,SEA,43,31,8,94,268,237,12.00%,0.909
16,VAN,44,33,5,93,235,237,10.29%,0.899
17,NYI,43,32,7,93,249,259,11.13%,0.896
18,VGK,41,31,10,92,265,248,12.03%,0.899
19,NYR,40,31,11,91,271,255,12.87%,0.908
20,WSH,40,33,9,89,287,279,11.86%,0.898
21,STL,39,36,7,85,231,258,10.71%,0.907
22,OTT,38,35,9,85,240,247,10.72%,0.903
23,UT,39,39,4,82,241,248,10.86%,0.894
24,CHI,37,38,7,81,255,276,12.27%,0.900
25,NSH,37,39,6,80,247,265,10.99%,0.896
26,TB,33,38,11,77,276,278,11.79%,0.897
27,PIT,36,43,3,75,263,305,11.83%,0.886
28,SJ,31,41,10,72,251,278,12.61%,0.899
29,ANA,32,43,7,71,220,272,10.43%,0.897
30,CBJ,33,45,4,70,253,304,11.89%,0.895
31,MTL,30,48,4,64,226,286,10.28%,0.893
32,PHI,29,48,5,63,239,306,11.24%,0.883

Simulation 89 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,NJ,48,26,8,104,313,262,11.70%,0.904
2,FLA,46,25,11,103,266,246,11.88%,0.901
3,NYR,48,29,5,101,252,228,11.78%,0.909
4,LA,46,28,8,100,269,240,12.23%,0.898
5,TOR,46,29,7,99,256,245,10.93%,0.898
6,CAR,44,27,11,99,303,253,12.31%,0.897
7,CGY,47,31,4,98,271,241,12.37%,0.902
8,VAN,45,30,7,97,278,244,12.31%,0.903
9,EDM,45,31,6,96,305,256,11.71%,0.900
10,TB,45,31,6,96,260,243,11.48%,0.904
11,WSH,44,30,8,96,308,308,12.59%,0.888
12,SEA,45,32,5,95,264,245,12.36%,0.905
13,OTT,43,31,8,94,267,266,12.81%,0.898
14,DAL,43,33,6,92,257,225,10.79%,0.909
15,BUF,43,33,6,92,271,286,11.72%,0.896
16,DET,40,30,12,92,274,256,12.99%,0.909
17,WPG,41,32,9,91,255,229,12.15%,0.913
18,VGK,43,35,4,90,247,256,11.03%,0.904
19,NYI,42,35,5,89,240,228,10.51%,0.907
20,BOS,38,32,12,88,255,245,11.19%,0.900
21,CBJ,39,34,9,87,280,308,12.55%,0.901
22,SJ,39,36,7,85,220,259,11.26%,0.903
23,PHI,38,35,9,85,268,293,12.02%,0.892
24,CHI,40,38,4,84,224,268,10.80%,0.902
25,UT,37,35,10,84,253,267,11.95%,0.899
26,MIN,35,35,12,82,239,247,11.27%,0.895
27,NSH,34,39,9,77,238,268,10.85%,0.899
28,COL,33,38,11,77,267,269,11.08%,0.897
29,PIT,35,41,6,76,247,294,11.09%,0.893
30,ANA,35,43,4,74,244,311,11.38%,0.886
31,STL,33,45,4,70,229,280,10.83%,0.901
32,MTL,32,45,5,69,266,320,12.09%,0.886

Simulation 90 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,CAR,56,18,8,120,283,212,11.75%,0.913
2,NYR,50,25,7,107,297,263,13.91%,0.909
3,LA,49,26,7,105,258,227,11.82%,0.902
4,WPG,46,24,12,104,273,233,12.66%,0.911
5,BOS,48,28,6,102,280,244,12.49%,0.903
6,NYI,47,28,7,101,286,250,12.33%,0.912
7,FLA,47,28,7,101,265,241,11.91%,0.897
8,CGY,47,30,5,99,272,249,12.26%,0.896
9,WSH,46,31,5,97,228,222,9.57%,0.913
10,COL,45,30,7,97,273,248,11.35%,0.903
11,DAL,45,31,6,96,270,255,11.38%,0.901
12,TB,43,30,9,95,286,277,12.49%,0.897
13,EDM,45,34,3,93,305,295,11.24%,0.893
14,MIN,42,31,9,93,280,259,12.99%,0.888
15,NSH,42,33,7,91,255,244,11.15%,0.903
16,VGK,39,30,13,91,288,270,12.42%,0.900
17,TOR,41,34,7,89,266,243,11.76%,0.903
18,SEA,39,37,6,84,267,266,12.09%,0.891
19,OTT,39,37,6,84,269,286,12.48%,0.894
20,VAN,39,38,5,83,213,219,9.78%,0.900
21,UT,38,37,7,83,242,280,10.73%,0.890
22,NJ,37,36,9,83,278,259,10.67%,0.898
23,BUF,38,38,6,82,247,255,10.96%,0.903
24,PIT,36,36,10,82,251,257,11.39%,0.906
25,ANA,38,39,5,81,250,293,11.46%,0.894
26,DET,36,37,9,81,255,266,11.85%,0.900
27,STL,37,40,5,79,274,303,13.00%,0.893
28,PHI,35,41,6,76,277,337,12.69%,0.879
29,CHI,33,39,10,76,248,277,11.95%,0.899
30,MTL,35,43,4,74,276,313,12.22%,0.887
31,CBJ,34,42,6,74,273,324,12.39%,0.890
32,SJ,20,56,6,46,182,300,9.56%,0.886

Simulation 91 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,NYI,49,25,8,106,266,229,11.41%,0.912
2,NYR,49,25,8,106,251,224,11.69%,0.919
3,CAR,47,23,12,106,311,273,12.75%,0.893
4,COL,51,28,3,105,286,234,12.04%,0.906
5,EDM,48,26,8,104,301,265,11.34%,0.903
6,FLA,45,27,10,100,261,241,11.30%,0.902
7,VAN,44,26,12,100,276,223,12.15%,0.911
8,UT,48,31,3,99,254,234,11.18%,0.901
9,BOS,47,32,3,97,228,219,10.51%,0.906
10,VGK,44,29,9,97,260,232,11.50%,0.908
11,MIN,43,30,9,95,220,211,10.04%,0.909
12,NJ,43,31,8,94,318,284,12.44%,0.896
13,WPG,43,31,8,94,253,245,11.42%,0.907
14,NSH,42,32,8,92,280,281,12.28%,0.896
15,OTT,40,30,12,92,281,259,12.73%,0.902
16,DAL,43,34,5,91,267,241,11.08%,0.900
17,BUF,43,34,5,91,277,274,12.32%,0.893
18,TB,43,34,5,91,263,263,11.86%,0.897
19,TOR,42,34,6,90,270,264,11.90%,0.890
20,CGY,40,34,8,88,264,268,12.75%,0.894
21,WSH,37,31,14,88,284,287,11.90%,0.900
22,LA,40,36,6,86,234,243,10.70%,0.894
23,CHI,39,35,8,86,241,247,11.44%,0.901
24,SEA,39,38,5,83,238,257,11.10%,0.896
25,PHI,38,38,6,82,276,306,12.55%,0.883
26,ANA,36,40,6,78,241,273,12.04%,0.897
27,STL,35,40,7,77,254,282,12.07%,0.903
28,CBJ,35,42,5,75,249,310,11.59%,0.894
29,MTL,32,45,5,69,268,287,12.23%,0.887
30,PIT,32,46,4,68,254,314,11.39%,0.888
31,DET,31,46,5,67,218,277,10.58%,0.894
32,SJ,24,56,2,50,193,290,9.91%,0.886

Simulation 92 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,FLA,53,23,6,112,300,214,13.01%,0.908
2,CAR,49,28,5,103,266,236,11.16%,0.897
3,EDM,49,29,4,102,327,264,12.41%,0.898
4,WSH,46,27,9,101,290,267,12.00%,0.898
5,TOR,48,30,4,100,275,245,11.87%,0.900
6,LA,45,28,9,99,271,240,11.74%,0.898
7,COL,45,29,8,98,278,249,11.61%,0.909
8,NYR,44,30,8,96,278,254,13.19%,0.901
9,CHI,42,28,12,96,278,265,13.40%,0.909
10,TB,42,29,11,95,279,259,12.18%,0.904
11,BUF,46,35,1,93,262,255,11.09%,0.900
12,DAL,45,34,3,93,263,271,10.85%,0.897
13,NYI,43,33,6,92,218,233,9.98%,0.908
14,WPG,42,32,8,92,264,251,12.07%,0.908
15,VGK,43,34,5,91,250,236,11.27%,0.907
16,BOS,42,35,5,89,205,199,9.17%,0.914
17,MIN,41,35,6,88,238,224,11.57%,0.898
18,OTT,40,35,7,87,272,289,12.04%,0.893
19,DET,39,34,9,87,252,264,12.00%,0.908
20,SJ,40,36,6,86,251,265,12.46%,0.897
21,VAN,40,38,4,84,267,266,11.42%,0.886
22,SEA,39,38,5,83,256,266,11.78%,0.896
